,Metropolitan Areas,Pop Est Jul 2018
169,"Houma-Thibodaux, LA",209136
170,"Houston-The Woodlands-Sugar Land, TX",6997384
171,"Huntington-Ashland, WV-KY-OH",352823
172,"Huntsville, AL",462693
173,"Idaho Falls, ID",148904
174,"Indianapolis-Carmel-Anderson, IN",2048703
175,"Iowa City, IA",173401
176,"Ithaca, NY",102793
177,"Jackson, MI",158823
178,"Jackson, MS",580166
179,"Jackson, TN",129209
180,"Jacksonville, FL",1534701
181,"Jacksonville, NC",197683
182,"Janesville-Beloit, WI",163129
183,"Jefferson City, MO",151520
184,"Johnson City, TN",202719
185,"Johnstown, PA",131730
186,"Jonesboro, AR",132532
187,"Joplin, MO",178902
188,"Kahului-Wailuku-Lahaina, HI",167295
189,"Kalamazoo-Portage, MI",340318
190,"Kankakee, IL",110024
191,"Kansas City, MO-KS",2143651
192,"Kennewick-Richland, WA",296224
193,"Killeen-Temple, TX",451679
194,"Kingsport-Bristol-Bristol, TN-VA",306616
195,"Kingston, NY",178599
196,"Knoxville, TN",883309
197,"Kokomo, IN",82366
198,"La Crosse-Onalaska, WI-MN",136808
199,"Lafayette, LA",489364
200,"Lafayette-West Lafayette, IN",221828
201,"Lake Charles, LA",210080
202,"Lake Havasu City-Kingman, AZ",209550
203,"Lakeland-Winter Haven, FL",708009
204,"Lancaster, PA",543557
205,"Lansing-East Lansing, MI",481893
206,"Laredo, TX",275910
207,"Las Cruces, NM",217522
208,"Las Vegas-Henderson-Paradise, NV",2231647
209,"Lawrence, KS",121436
210,"Lawton, OK",126198
211,"Lebanon, PA",141314
212,"Lewiston, ID-WA",63018
213,"Lewiston-Auburn, ME",107679
214,"Lexington-Fayette, KY",516697
215,"Lima, OH",102663
216,"Lincoln, NE",334590
217,"Little Rock-North Little Rock-Conway, AR",741104
218,"Logan, UT-ID",140794
219,"Longview, TX",219417
220,"Longview, WA",108987
221,"Los Angeles-Long Beach-Anaheim, CA",13291486
222,"Anaheim-Santa Ana-Irvine, CA Metro Division",3185968
223,"Los Angeles-Long Beach-Glendale, CA Metro Division",10105518
224,"Louisville/Jefferson County, KY-IN",1297301
225,"Lubbock, TX",319068
226,"Lynchburg, VA",263353
227,"Macon-Bibb County, GA",229737
228,"Madera, CA",157672
229,"Madison, WI",660422
230,"Manchester-Nashua, NH",415247
231,"Manhattan, KS",97980
232,"Mankato-North Mankato, MN",101647
233,"Mansfield, OH",121099
234,"McAllen-Edinburg-Mission, TX",865939
235,"Medford, OR",219564
236,"Memphis, TN-MS-AR",1350620
237,"Merced, CA",274765
238,"Miami-Fort Lauderdale-West Palm Beach, FL",6198782
239,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Division",1951260
240,"Miami-Miami Beach-Kendall, FL Metro Division",2761581
241,"West Palm Beach-Boca Raton-Delray Beach, FL Metro Division",1485941
242,"Michigan City-La Porte, IN",110007
243,"Midland, MI",83209
244,"Midland, TX",178331
245,"Milwaukee-Waukesha-West Allis, WI",1576113
246,"Minneapolis-St. Paul-Bloomington, MN-WI",3629190
247,"Missoula, MT",118791
248,"Mobile, AL",413757
249,"Modesto, CA",549815
250,"Monroe, LA",176805
251,"Monroe, MI",150439
252,"Montgomery, AL",373225
253,"Morgantown, WV",140259
254,"Morristown, TN",118581
255,"Mount Vernon-Anacortes, WA",128206
256,"Muncie, IN",114772
257,"Muskegon, MI",173588
258,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",480891
259,"Napa, CA",139417
260,"Naples-Immokalee-Marco Island, FL",378488
261,"Nashville-Davidson--Murfreesboro--Franklin, TN",1930961
262,"New Bern, NC",125219
263,"New Haven-Milford, CT",857620
264,"New Orleans-Metairie, LA",1270399
265,"New York-Newark-Jersey City, NY-NJ-PA",19979477
266,"Dutchess County-Putnam County, NY Metro Division",392610
267,"Nassau County-Suffolk County, NY Metro Division",2839436
268,"Newark, NJ-PA Metro Division",2504672
269,"New York-Jersey City-White Plains, NY-NJ Metro Division",14242759
270,"Niles-Benton Harbor, MI",154141
271,"North Port-Sarasota-Bradenton, FL",821573
272,"Norwich-New London, CT",266784
273,"Ocala, FL",359977
274,"Ocean City, NJ",92560
275,"Odessa, TX",162124
276,"Ogden-Clearfield, UT",675067
277,"Oklahoma City, OK",1396445
278,"Olympia-Tumwater, WA",286419
279,"Omaha-Council Bluffs, NE-IA",942198
280,"Orlando-Kissimmee-Sanford, FL",2572962
281,"Oshkosh-Neenah, WI",171020
282,"Owensboro, KY",119114
283,"Oxnard-Thousand Oaks-Ventura, CA",850967
284,"Palm Bay-Melbourne-Titusville, FL",596849
285,"Panama City, FL",201451
286,"Parkersburg-Vienna, WV",90033
287,"Pensacola-Ferry Pass-Brent, FL",494883
288,"Peoria, IL",368373
289,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096372
290,"Camden, NJ Metro Division",1243870
291,"Montgomery County-Bucks County-Chester County, PA Metro Division",1978845
292,"Philadelphia, PA Metro Division",2148889
293,"Wilmington, DE-MD-NJ Metro Division",724768
294,"Phoenix-Mesa-Scottsdale, AZ",4857962
295,"Pine Bluff, AR",89515
296,"Pittsburgh, PA",2324743
297,"Pittsfield, MA",126348
298,"Pocatello, ID",87138
299,"Portland-South Portland, ME",535420
300,"Portland-Vancouver-Hillsboro, OR-WA",2478810
301,"Port St. Lucie, FL",482040
302,"Prescott, AZ",231993
303,"Providence-Warwick, RI-MA",1621337
304,"Provo-Orem, UT",633768
305,"Pueblo, CO",167529
306,"Punta Gorda, FL",184998
307,"Racine, WI",196584
308,"Raleigh, NC",1362540
309,"Rapid City, SD",148749
310,"Reading, PA",420152
311,"Redding, CA",180040
312,"Reno, NV",469764
313,"Richmond, VA",1306172
314,"Riverside-San Bernardino-Ontario, CA",4622361
315,"Roanoke, VA",314172
316,"Rochester, MN",219802
317,"Rochester, NY",1071082
318,"Rockford, IL",337658
319,"Rocky Mount, NC",146021
320,"Rome, GA",97927
321,"Sacramento--Roseville--Arden-Arcade, CA",2345210
322,"Saginaw, MI",190800
323,"St. Cloud, MN",199801
324,"St. George, UT",171700
325,"St. Joseph, MO-KS",126490
326,"St. Louis, MO-IL",2805465
327,"Salem, OR",432102
328,"Salinas, CA",435594
329,"Salisbury, MD-DE",409979
330,"Salt Lake City, UT",1222540
331,"San Angelo, TX",119711
332,"San Antonio-New Braunfels, TX",2518036
333,"San Diego-Carlsbad, CA",3343364
334,"San Francisco-Oakland-Hayward, CA",4729484
335,"Oakland-Hayward-Berkeley, CA Metro Division",2816968
336,"San Francisco-Redwood City-South San Francisco, CA Metro Division",1652850
337,"San Rafael, CA Metro Division",259666
338,"San Jose-Sunnyvale-Santa Clara, CA",1999107
339,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",284010
340,"Santa Cruz-Watsonville, CA",274255
341,"Santa Fe, NM",150056
342,"Santa Maria-Santa Barbara, CA",446527
343,"Santa Rosa, CA",499942
344,"Savannah, GA",389494
345,"Scranton--Wilkes-Barre--Hazleton, PA",555485
346,"Seattle-Tacoma-Bellevue, WA",3939363
347,"Seattle-Bellevue-Everett, WA Metro Division",3048064
348,"Tacoma-Lakewood, WA Metro Division",891299
349,"Sebastian-Vero Beach, FL",157413
350,"Sebring, FL",105424
351,"Sheboygan, WI",115456
352,"Sherman-Denison, TX",133991
353,"Shreveport-Bossier City, LA",436341
354,"Sierra Vista-Douglas, AZ",126770
355,"Sioux City, IA-NE-SD",169045
356,"Sioux Falls, SD",265653
357,"South Bend-Mishawaka, IN-MI",322424
358,"Spartanburg, SC",341298
359,"Spokane-Spokane Valley, WA",573493
360,"Springfield, IL",207636
361,"Springfield, MA",631761
362,"Springfield, MO",466978
363,"Springfield, OH",134585
364,"State College, PA",162805
365,"Staunton-Waynesboro, VA",123007
366,"Stockton-Lodi, CA",752660
367,"Sumter, SC",106512
368,"Syracuse, NY",650502
369,"Tallahassee, FL",385145
370,"Tampa-St. Petersburg-Clearwater, FL",3142663
371,"Terre Haute, IN",169725
372,"Texarkana, TX-AR",150242
373,"The Villages, FL",128754
374,"Toledo, OH",602871
375,"Topeka, KS",232594
376,"Trenton, NJ",369811
377,"Tucson, AZ",1039073
378,"Tulsa, OK",993797
379,"Tuscaloosa, AL",243575
380,"Twin Falls, ID",110096
381,"Tyler, TX",230221
382,"Urban Honolulu, HI",980080
383,"Utica-Rome, NY",291410
384,"Valdosta, GA",146174
385,"Vallejo-Fairfield, CA",446610
386,"Victoria, TX",99619
387,"Vineland-Bridgeton, NJ",150972
388,"Virginia Beach-Norfolk-Newport News, VA-NC",1728733
389,"Visalia-Porterville, CA",465861
390,"Waco, TX",271942
391,"Walla Walla, WA",64981
392,"Warner Robins, GA",193835
393,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6249950
394,"Silver Spring-Frederick-Rockville, MD Metro Division",1308215
395,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",4941735
396,"Waterloo-Cedar Falls, IA",169659
397,"Watertown-Fort Drum, NY",111755
398,"Wausau, WI",135428
399,"Weirton-Steubenville, WV-OH",117064
400,"Wenatchee, WA",119943
401,"Wheeling, WV-OH",140045
402,"Wichita, KS",644888
403,"Wichita Falls, TX",151306
404,"Williamsport, PA",113664
405,"Wilmington, NC",294436
406,"Winchester, VA-WV",139810
407,"Winston-Salem, NC",671456
408,"Worcester, MA-CT",947866
409,"Yakima, WA",251446
410,"York-Hanover, PA",448273
411,"Youngstown-Warren-Boardman, OH-PA",538952
412,"Yuba City, CA",174848
413,"Yuma, AZ",212128
414,In micropolitan statistical area,27627895
415,"Aberdeen, SD",43191
416,"Aberdeen, WA",73901
417,"Ada, OK",38247
418,"Adrian, MI",98266
419,"Alamogordo, NM",66781
420,"Albemarle, NC",62075
421,"Albert Lea, MN",30444
422,"Albertville, AL",96109
423,"Alexander City, AL",40497
424,"Alexandria, MN",37964
425,"Alice, TX",40822
426,"Alma, MI",40599
427,"Alpena, MI",28360
428,"Altus, OK",24949
429,"Americus, GA",34969
430,"Amsterdam, NY",49455
431,"Andrews, TX",18128
432,"Angola, IN",34586
433,"Arcadia, FL",37489
434,"Ardmore, OK",48177
435,"Arkadelphia, AR",22061
436,"Arkansas City-Winfield, KS",35218
437,"Ashland, OH",53745
438,"Ashtabula, OH",97493
439,"Astoria, OR",39764
440,"Atchison, KS",16193
441,"Athens, OH",65818
442,"Athens, TN",53285
443,"Athens, TX",82299
444,"Atmore, AL",36748
445,"Auburn, IN",43226
446,"Auburn, NY",77145
447,"Augusta-Waterville, ME",122083
448,"Austin, MN",40011
449,"Bainbridge, GA",26575
450,"Baraboo, WI",64249
451,"Bardstown, KY",45851
452,"Barre, VT",58140
453,"Bartlesville, OK",51843
454,"Bastrop, LA",25398
455,"Batavia, NY",57511
456,"Batesville, AR",37678
457,"Bay City, TX",36552
458,"Beatrice, NE",21493
459,"Beaver Dam, WI",87847
460,"Bedford, IN",45668
461,"Beeville, TX",32587
462,"Bellefontaine, OH",45358
463,"Bemidji, MN",46847
464,"Bennettsville, SC",26398
465,"Bennington, VT",35631
466,"Berlin, NH-VT",37839
467,"Big Rapids, MI",43545
468,"Big Spring, TX",37847
469,"Big Stone Gap, VA",56503
470,"Blackfoot, ID",46236
471,"Bluefield, WV-VA",99986
472,"Blytheville, AR",41239
473,"Bogalusa, LA",46582
474,"Bonham, TX",35286
475,"Boone, IA",26346
476,"Boone, NC",55945
477,"Borger, TX",21198
478,"Bozeman, MT",111876
479,"Bradford, PA",40968
480,"Brainerd, MN",94408
481,"Branson, MO",87601
482,"Breckenridge, CO",31007
483,"Brenham, TX",35108
484,"Brevard, NC",34215
485,"Brookhaven, MS",34205
486,"Brookings, OR",22813
487,"Brookings, SD",35232
488,"Brownsville, TN",17335
489,"Brownwood, TX",37924
490,"Bucyrus, OH",41550
491,"Burley, ID",44689
492,"Burlington, IA-IL",45847
493,"Butte-Silver Bow, MT",34993
494,"Cadillac, MI",48579
495,"Calhoun, GA",57685
496,"Cambridge, MD",31998
497,"Cambridge, OH",39022
498,"Camden, AR",28883
499,"Campbellsville, KY",25549
500,"Cañon City, CO",48021
501,"Canton, IL",34844
502,"Carlsbad-Artesia, NM",57900
503,"Carroll, IA",20154
504,"Cedar City, UT",52775
505,"Cedartown, GA",42470
506,"Celina, OH",40959
507,"Central City, KY",30774
508,"Centralia, IL",37620
509,"Centralia, WA",79604
510,"Charleston-Mattoon, IL",61693
511,"Chillicothe, OH",76931
512,"Claremont-Lebanon, NH-VT",217215
513,"Clarksburg, WV",92822
514,"Clarksdale, MS",22628
515,"Clearlake, CA",64382
516,"Cleveland, MS",31333
517,"Clewiston, FL",41556
518,"Clinton, IA",46518
519,"Clovis, NM",49437
520,"Coffeyville, KS",32120
521,"Coldwater, MI",43622
522,"Columbus, MS",58930
523,"Columbus, NE",33363
524,"Concord, NH",151132
525,"Connersville, IN",23047
526,"Cookeville, TN",112669
527,"Coos Bay, OR",64389
528,"Cordele, GA",22601
529,"Corinth, MS",36925
530,"Cornelia, GA",45388
531,"Corning, NY",95796
532,"Corsicana, TX",49565
533,"Cortland, NY",47823
534,"Coshocton, OH",36629
535,"Craig, CO",13188
536,"Crawfordsville, IN",38346
537,"Crescent City, CA",27828
538,"Crossville, TN",59673
539,"Cullman, AL",83442
540,"Cullowhee, NC",43327
541,"Danville, KY",54744
542,"Danville, VA",101642
543,"Dayton, TN",33044
544,"Decatur, IN",35636
545,"Defiance, OH",38165
546,"Del Rio, TX",49208
547,"Deming, NM",23963
548,"DeRidder, LA",37253
549,"Dickinson, ND",30997
550,"Dixon, IL",34223
551,"Dodge City, KS",33888
552,"Douglas, GA",43093
553,"Dublin, GA",57033
554,"DuBois, PA",79388
555,"Dumas, TX",21485
556,"Duncan, OK",43265
557,"Dunn, NC",134214
558,"Durango, CO",56310
559,"Durant, OK",47192
560,"Dyersburg, TN",37320
561,"Eagle Pass, TX",58485
562,"Easton, MD",36968
563,"Edwards, CO",54993
564,"Effingham, IL",34208
565,"El Campo, TX",41619
566,"El Dorado, AR",39126
567,"Elizabeth City, NC",63771
568,"Elk City, OK",21709
569,"Elkins, WV",28823
570,"Elko, NV",54463
571,"Ellensburg, WA",47364
572,"Emporia, KS",33406
573,"Enterprise, AL",51909
574,"Escanaba, MI",35857
575,"Española, NM",39006
576,"Eufaula, AL-GA",27160
577,"Eureka-Arcata-Fortuna, CA",136373
578,"Evanston, WY",20299
579,"Fairfield, IA",18381
580,"Fairmont, MN",19785
581,"Fairmont, WV",56097
582,"Fallon, NV",24440
583,"Faribault-Northfield, MN",66523
584,"Farmington, MO",66692
585,"Fergus Falls, MN",58812
586,"Fernley, NV",55808
587,"Findlay, OH",75930
588,"Fitzgerald, GA",16787
589,"Forest City, NC",66826
590,"Forrest City, AR",25439
591,"Fort Dodge, IA",36277
592,"Fort Leonard Wood, MO",52014
593,"Fort Madison-Keokuk, IA-IL-MO",58741
594,"Fort Morgan, CO",28558
595,"Fort Payne, AL",71385
596,"Fort Polk South, LA",48860
597,"Frankfort, IN",32250
598,"Frankfort, KY",73478
599,"Fredericksburg, TX",26804
600,"Freeport, IL",44753
601,"Fremont, NE",36791
602,"Fremont, OH",58799
603,"Gaffney, SC",57078
604,"Gainesville, TX",40574
605,"Galesburg, IL",50112
606,"Gallup, NM",72290
607,"Garden City, KS",40554
608,"Gardnerville Ranchos, NV",48467
609,"Georgetown, SC",62249
610,"Gillette, WY",46140
611,"Glasgow, KY",54206
612,"Glenwood Springs, CO",77720
613,"Gloversville, NY",53591
614,"Grand Rapids, MN",45108
615,"Grants, NM",26746
616,"Great Bend, KS",26111
617,"Greeneville, TN",69087
618,"Greenfield Town, MA",70963
619,"Greensburg, IN",26794
620,"Greenville, MS",45063
621,"Greenville, OH",51323
622,"Greenwood, MS",38830
623,"Greenwood, SC",95282
624,"Grenada, MS",21055
625,"Guymon, OK",20455
626,"Hailey, ID",29088
627,"Hannibal, MO",38804
628,"Harrison, AR",45285
629,"Hastings, NE",31511
630,"Hays, KS",28710
631,"Heber, UT",33240
632,"Helena, MT",80797
633,"Helena-West Helena, AR",18029
634,"Henderson, NC",44582
635,"Hereford, TX",18760
636,"Hermiston-Pendleton, OR",88888
637,"Hillsdale, MI",45749
638,"Hilo, HI",200983
639,"Hobbs, NM",69611
640,"Holland, MI",117327
641,"Hood River, OR",23428
642,"Hope, AR",30067
643,"Houghton, MI",38332
644,"Hudson, NY",59916
645,"Huntingdon, PA",45168
646,"Huntington, IN",36240
647,"Huntsville, TX",87220
648,"Huron, SD",18883
649,"Hutchinson, KS",62342
650,"Hutchinson, MN",35873
651,"Indiana, PA",84501
652,"Indianola, MS",25735
653,"Ionia, MI",64210
654,"Iron Mountain, MI-WI",29704
655,"Jackson, OH",32384
656,"Jackson, WY-ID",34721
657,"Jacksonville, IL",38902
658,"Jacksonville, TX",52592
659,"Jamestown, ND",20917
660,"Jamestown-Dunkirk-Fredonia, NY",127939
661,"Jasper, IN",54975
662,"Jefferson, GA",70422
663,"Jennings, LA",31582
664,"Jesup, GA",29808
665,"Junction City, KS",32594
666,"Juneau, AK",32113
667,"Kalispell, MT",102106
668,"Kapaa, HI",72133
669,"Kearney, NE",56159
670,"Keene, NH",76493
671,"Kendallville, IN",47532
672,"Kennett, MO",29423
673,"Kerrville, TX",52405
674,"Ketchikan, AK",13918
675,"Key West, FL",75027
676,"Kill Devil Hills, NC",40632
677,"Kingsville, TX",31571
678,"Kinston, NC",55976
679,"Kirksville, MO",29938
680,"Klamath Falls, OR",67653
681,"Laconia, NH",61022
682,"La Grande, OR",26461
683,"LaGrange, GA",70034
684,"Lake City, FL",70503
685,"Lamesa, TX",12619
686,"Laramie, WY",38601
687,"Las Vegas, NM",27591
688,"Laurel, MS",84889
689,"Laurinburg, NC",34810
690,"Lawrenceburg, TN",43734
691,"Lebanon, MO",35713
692,"Levelland, TX",22980
693,"Lewisburg, PA",44785
694,"Lewisburg, TN",33683
695,"Lewistown, PA",46222
696,"Lexington, NE",25705
697,"Liberal, KS",21780
698,"Lincoln, IL",28925
699,"Lock Haven, PA",38684
700,"Logan, WV",32607
701,"Logansport, IN",37955
702,"London, KY",128215
703,"Los Alamos, NM",19101
704,"Ludington, MI",29100
705,"Lufkin, TX",87092
706,"Lumberton, NC",131831
707,"Macomb, IL",29955
708,"Madison, IN",32208
709,"Madisonville, KY",45068
710,"Magnolia, AR",23537
711,"Malone, NY",50293
712,"Malvern, AR",33701
713,"Manitowoc, WI",79074
714,"Marietta, OH",60155
715,"Marinette, WI-MI",63417
716,"Marion, IN",65936
717,"Marion, NC",45507
718,"Marion, OH",65256
719,"Marquette, MI",66516
720,"Marshall, MN",25629
721,"Marshall, MO",22895
722,"Marshall, TX",66726
723,"Marshalltown, IA",39981
724,"Martin, TN",33415
725,"Martinsville, VA",63855
726,"Maryville, MO",22304
727,"Mason City, IA",50100
728,"Mayfield, KY",37317
729,"Maysville, KY",17150
730,"McAlester, OK",43877
731,"McComb, MS",51889
732,"McMinnville, TN",40878
733,"McPherson, KS",28537
734,"Meadville, PA",85063
735,"Menomonie, WI",45131
736,"Meridian, MS",100948
737,"Merrill, WI",27689
738,"Mexico, MO",25473
739,"Miami, OK",31175
740,"Middlesborough, KY",26569
741,"Milledgeville, GA",53171
742,"Mineral Wells, TX",28875
743,"Minot, ND",75934
744,"Mitchell, SD",23166
745,"Moberly, MO",24763
746,"Montrose, CO",42214
747,"Morehead City, NC",69524
748,"Morgan City, LA",49774
749,"Moscow, ID",40134
750,"Moses Lake, WA",97331
751,"Moultrie, GA",45592
752,"Mountain Home, AR",41619
753,"Mountain Home, ID",27259
754,"Mount Airy, NC",71948
755,"Mount Pleasant, MI",70562
756,"Mount Pleasant, TX",33033
757,"Mount Sterling, KY",47037
758,"Mount Vernon, IL",37820
759,"Mount Vernon, OH",61893
760,"Murray, KY",39135
761,"Muscatine, IA",42929
762,"Muskogee, OK",68362
763,"Nacogdoches, TX",65711
764,"Natchez, MS-LA",50764
765,"Natchitoches, LA",38659
766,"Newberry, SC",38520
767,"New Castle, IN",48271
768,"New Castle, PA",86184
769,"New Philadelphia-Dover, OH",92176
770,"Newport, OR",49388
771,"Newport, TN",35774
772,"Newton, IA",37147
773,"New Ulm, MN",25111
774,"Nogales, AZ",46511
775,"Norfolk, NE",48504
776,"North Platte, NE",36426
777,"North Vernon, IN",27611
778,"North Wilkesboro, NC",68557
779,"Norwalk, OH",58504
780,"Oak Harbor, WA",84460
781,"Ogdensburg-Massena, NY",108047
782,"Oil City, PA",51266
783,"Okeechobee, FL",41537
784,"Olean, NY",76840
785,"Oneonta, NY",59749
786,"Ontario, OR-ID",54276
787,"Opelousas, LA",82764
788,"Orangeburg, SC",86934
789,"Oskaloosa, IA",22000
790,"Othello, WA",19759
791,"Ottawa, KS",25631
792,"Ottawa-Peru, IL",148163
793,"Ottumwa, IA",44222
794,"Owatonna, MN",36803
795,"Owosso, MI",68192
796,"Oxford, MS",54793
797,"Oxford, NC",60115
798,"Ozark, AL",48956
799,"Paducah, KY-IL",96647
800,"Pahrump, NV",45346
801,"Palatka, FL",74163
802,"Palestine, TX",58057
803,"Pampa, TX",21895
804,"Paragould, AR",45325
805,"Paris, TN",32358
806,"Paris, TX",49728
807,"Parsons, KS",19964
808,"Payson, AZ",53889
809,"Pecos, TX",15695
810,"Pella, IA",33407
811,"Peru, IN",35567
812,"Picayune, MS",55387
813,"Pierre, SD",22064
